,Code,Property_Location,Mailing Address
0,1517_285.06_4,14 SUNRISE BAY BOULEVARD,14 SUNRISE BAY BLVD
1,1517_285.06_5,16 SUNRISE BAY BOULEVARD,16 SUNRISE BAY
2,1517_285.06_6,18 SUNRISE BAY BOULEVARD,18 SUNRISE BAY BLVD
3,1517_285.06_7,20 SUNRISE BAY BOULEVARD,20 SUNRISE BAY BLVD
4,1517_285.06_8,22 SUNRISE BAY BOULEVARD,22 SUNRISE BAY BLVD
5,1517_285.06_9,24 SUNRISE BAY BOULEVARD,1510 RTE 539
6,1517_285.06_10,26 SUNRISE BAY BOULEVARD,26 SUNRISE BAY BLVD
7,1517_285.06_11,28 SUNRISE BAY BOULEVARD,28 SUNRISE BAY BLVD
8,1517_285.06_12,30 SUNRISE BAY BOULEVARD,30 SUNRISE BAY BLVD
9,1517_285.06_13,32 SUNRISE BAY BOULEVARD,32 SUNRISE BAY BLVD
10,1517_285.06_14,34 SUNRISE BAY BOULEVARD,34 SUNRISE BAY BLVD
11,1517_285.06_15,36 SUNRISE BAY BOULEVARD,36 SUNRISE BAY BLVD
12,1517_285.06_16,38 SUNRISE BAY BOULEVARD,38 SUNRISE BAY BLVD
13,1517_285.06_17,40 SUNRISE BAY BOULEVARD,40 SUNRISE BAY BLVD
14,1517_285.06_18,42 SUNRISE BAY BOULEVARD,42 SUNRISE BAY BLVD
15,1517_285.06_19,49 WINDSTAR DRIVE,49 WINDSTAR DR
16,1517_285.06_20,47 WINDSTAR DRIVE,47 WINDSTAR DR
17,1517_285.06_21,45 WINDSTAR DRIVE,45 WINDSTAR DR
18,1517_285.06_22,43 WINDSTAR DRIVE,43 WINDSTAR DR
19,1517_285.06_23,41 WINDSTAR DRIVE,41 WINDSTAR DR
20,1517_285.06_24,39 WINDSTAR DRIVE,39 WINDSTAR DR
21,1517_285.06_25,31 WINDSTAR DRIVE,31 WINDSTAR DR
22,1517_285.06_26,29 WINDSTAR DRIVE,29 WINDSTAR DR
23,1517_285.06_27,27 WINDSTAR DRIVE,27 WINDSTAR DR
24,1517_285.06_28,23 WINDSTAR DRIVE,23 WINDSTAR DR
25,1517_285.06_29,21 WINDSTAR DRIVE,21 WINDSTAR DR
26,1517_285.06_30,19 WINDSTAR DRIVE,19 WINDSTAR DR
27,1517_285.06_32,15 WINDSTAR DRIVE,15 WINDSTAR DR
28,1517_285.06_33,13 WINDSTAR DRIVE,13 WINDSTAR DR
29,1517_285.06_34,11 WINDSTAR DRIVE,11 WINDSTAR DR
30,1517_285.06_35,9 WINDSTAR DRIVE,9 WINDSTAR DR
31,1517_285.06_36,7 WINDSTAR DRIVE,7 WINDSTAR DR
32,1517_285.06_37,5 WINDSTAR DRIVE,5 WINDSTAR DR
33,1517_285.06_38,3 WINDSTAR DRIVE,3 WINDSTAR DR
34,1517_285.07_1,1 MARINA WAY,1 MARINA WAY
35,1517_285.07_2,14 NAUTIC WAY,14 NAUTIC WAY
36,1517_285.07_3,18 NAUTIC WAY,18 NAUTIC WAY
37,1517_285.07_4,20 NAUTIC WAY,20 NAUTIC WAY
38,1517_285.07_5,24 NAUTIC WAY,24 NAUTIC WAY
39,1517_285.07_6,28 NAUTIC WAY,28 NAUTIC WAY
40,1517_285.07_7,30 NAUTIC WAY,30 NAUTIC WAY
41,1517_285.07_8,32 NAUTIC WAY,32 NAUTIC WAY
42,1517_285.07_9,34 NAUTIC WAY,34 NAUTIC WAY
43,1517_285.07_10,36 NAUTIC WAY,36 NAUTIC WAY
44,1517_285.07_12,23 MARINA WAY,23 MARINA WAY
45,1517_285.07_13,19 MARINA WAY,19 MARINA WAY
46,1517_285.07_14,15 MARINA WAY,15 MARINA WAY
47,1517_285.07_15,13 MARINA WAY,13 MARINA WAY
48,1517_285.07_16,11 MARINA WAY,11 MARINA WAY
49,1517_285.07_17,9 MARINA WAY,9 MARINA WAY
50,1517_285.07_18,7 MARINA WAY,7 MARINA WAY
51,1517_285.07_19,5 MARINA WAY,5 MARINA WAY
52,1517_285.07_20,3 MARINA WAY,3 MARINA WAY
53,1517_285.08_1,2 PELICAN LANE,2 PELICAN LN
54,1517_285.08_2,4 PELICAN LANE,4 PELICAN LN
55,1517_285.08_3,6 PELICAN LANE,6 PELICAN LN
56,1517_285.08_5,10 PELICAN LANE,10 PELICAN LN
57,1517_285.08_6,12 PELICAN LANE,12 PELICAN LN
58,1517_285.08_7,14 PELICAN LANE,14 PELICAN LN
59,1517_285.08_8,16 PELICAN LANE,16 PELICAN LN
60,1517_285.08_9,18 PELICAN LANE,18 PELICAN LN
61,1517_285.08_10,20 PELICAN LANE,20 PELICAN LN
62,1517_285.08_11,22 PELICAN LANE,22 PELICAN LN
63,1517_285.08_12,24 PELICAN LANE,24 PELICAN LN
64,1517_285.08_13,26 PELICAN LANE,26 PELICAN LN
65,1517_285.08_14,28 PELICAN LANE,28 PELICAN LN
66,1517_285.08_15,30 PELICAN LANE,30 PELICAN LN
67,1517_285.08_16,45 SEAGULL DRIVE,45 SEAGULL DR
68,1517_285.08_17,43 SEAGULL DRIVE,43 SEAGULL DR
69,1517_285.08_18,41 SEAGULL DRIVE,41 SEAGULL DR
70,1517_285.08_19,25 REEF LANE,25 REEF LN
71,1517_285.08_20,23 REEF LANE,23 REEF LN
72,1517_285.08_21,21 REEF LANE,21 REEF LN
73,1517_285.08_23,17 REEF LANE,17 REEF LN
74,1517_285.08_24,15 REEF LANE,15 REEF LN
75,1517_285.08_25,13 REEF LANE,13 REEF LN
76,1517_285.08_26,11 REEF LANE,11 REEF LN
77,1517_285.08_28,7 REEF LANE,7 REEF LN
78,1517_285.08_31,1 REEF LANE,1 REEF LN
79,1517_285.08_32,17 SWEETWATER DRIVE,17 SWEETWATER DR
80,1517_285.08_33,15 SWEETWATER DRIVE,15 SWEETWATER DR
81,1517_285.08_34,13 SWEETWATER DRIVE,13 SWEETWATER DR
82,1517_285.09_1,21 SWEETWATER DRIVE,21 SWEETWATER DR
83,1517_285.09_2,2 REEF LANE,2 REEF LN
84,1517_285.09_3,4 REEF LANE,4 REEF LN
85,1517_285.09_4,6 REEF LANE,6 REEF LN
86,1517_285.09_5,8 REEF LANE,8 REEF LN
87,1517_285.09_6,10 REEF LANE,10 REEF LANE
88,1517_285.09_7,12 REEF LANE,12 REEF LN
89,1517_285.09_8,14 REEF LANE,14 REEF LN
90,1517_285.09_9,16 REEF LANE,16 REEF LN
91,1517_285.09_10,18 REEF LANE,18 REEF LN
92,1517_285.09_11,20 REEF LANE,20 REEF LN
93,1517_285.09_12,22 REEF LANE,22 REEF LN
94,1517_285.09_13,24 REEF LANE,24 REEF LN
95,1517_285.09_14,26 REEF LANE,PO BOX 1493
96,1517_285.09_15,28 REEF LANE,28 REEF LN
97,1517_285.09_16,29 SEAGULL DRIVE,60 SNOVER RD
98,1517_285.09_18,25 SEAGULL DRIVE,25 SEAGULL DR
99,1517_285.09_19,23 SEAGULL DRIVE,23 SEAGULL DR
100,1517_285.09_20,21 SEAGULL DRIVE,21 SEAGULL DR
101,1517_285.09_21,17 SEAGULL DRIVE,17 SEAGULL DR
102,1517_285.09_22,15 SEAGULL DRIVE,15 SEAGULL DR
103,1517_285.09_23,13 SEAGULL DRIVE,13 SEAGULL DR
104,1517_285.09_24,11 SEAGULL DRIVE,11 SEAGULL DR
105,1517_285.09_25,9 SEAGULL DRIVE,9 SEAGULL DR
106,1517_285.09_26,7 SEAGULL DRIVE,7 SEAGULL DR
107,1517_285.09_27,5 SEAGULL DRIVE,5 SEAGULL DR
108,1517_285.09_28,23 SWEETWATER DRIVE,23 SWEETWATER DR
109,1517_285.10_1,2 SEAGULL DRIVE,2 SEAGULL DR
110,1517_285.10_2,4 SEAGULL DRIVE,4 SEAGULL DR
111,1517_285.10_3,6 SEAGULL DRIVE,6 SEAGULL DR
112,1517_285.10_4,8 SEAGULL DRIVE,8 SEAGULL DR
113,1517_285.10_5,10 SEAGULL DRIVE,10 SEAGULL DR
114,1517_285.10_6,12 SEAGULL DRIVE,12 SEAGULL DR
115,1517_285.10_7,14 SEAGULL DRIVE,14 SEAGULL DR
116,1517_285.10_8,16 SEAGULL DRIVE,16 SEAGULL DR
117,1517_285.10_9,18 SEAGULL DRIVE,18 SEAGULL DR
118,1517_285.10_10,20 SEAGULL DRIVE,20 SEAGULL DR
119,1517_285.10_11,22 SEAGULL DRIVE,22 SEAGULL DR
120,1517_285.10_12,24 SEAGULL DRIVE,24 SEAGULL DR
121,1517_285.10_13,26 SEAGULL DRIVE,26 SEAGULL DR
122,1517_285.10_14,28 SEAGULL DRIVE,28 SEAGULL DR
123,1517_285.10_15,30 SEAGULL DRIVE,30 SEAGULL DR
124,1517_285.10_16,32 SEAGULL DRIVE,32 SEAGULL DR
125,1517_285.10_17,34 SEAGULL DRIVE,34 SEAGULL DR
126,1517_285.10_18,36 SEAGULL DRIVE,36 SEAGULL DR
127,1517_285.10_19,38 SEAGULL DRIVE,38 SEAGULL DR
128,1517_285.10_20,40 SEAGULL DRIVE,PO BOX 466
129,1517_285.10_21,42 SEAGULL DRIVE,42 SEAGULL DR
130,1517_285.10_22,44 SEAGULL DRIVE,44 SEAGULL DR
131,1517_285.10_23,46 SEAGULL DRIVE,46 SEAGULL DR
132,1517_285.10_25,50 SEAGULL DRIVE,50 SEAGULL DR
133,1517_285.10_26,52 SEAGULL DRIVE,52 SEAGULL DR
134,1517_285.10_27,54 SEAGULL DRIVE,54 SEAGULL DR
135,1517_285.10_28,80 WINDSTAR DRIVE,80 WINDSTAR DR
136,1517_285.10_30,88 WINDSTAR DRIVE,88 WINDSTAR DR
137,1517_285.10_31,90 WINDSTAR DRIVE,90 WINDSTAR DR
138,1517_285.10_32,92 WINDSTAR DRIVE,92 WINDSTAR DR
139,1517_285.10_33,94 WINDSTAR DRIVE,94 WINDSTAR DR
140,1517_285.10_34,96 WINDSTAR DRIVE,96 WINDSTAR DR
141,1517_285.10_35,98 WINDSTAR DRIVE,98 WINDSTAR DR
142,1517_285.10_37,102 WINDSTAR DRIVE,102 WINDSTAR DR
143,1517_285.10_38,104 WINDSTAR DRIVE,104 WINDSTAR DR
144,1517_285.10_39,106 WINDSTAR DRIVE,106 WINDSTAR DR
145,1517_285.11_1.01,320 CENTER STREET,320 CENTER ST
146,1517_285.11_1.02,316 CENTER STREET,316 CENTER ST
147,1517_285.11_1.05,308 CENTER STREET,104 MATHIS DR
148,1517_285.11_1.07,304 CENTER STREET,46 VICARI WAY
149,1517_285.11_1.08,302 CENTER STREET,302 CENTER ST
150,1517_285.11_1.09,4 DAVIDS LANE,409 TWIN LAKES BLVD
151,1517_285.11_1.10,8 DAVIDS LANE,8 DAVIDS LN
152,1517_285.11_1.11,12 DAVIDS LANE,12 DAVIDS LN
153,1517_285.11_1.12,16 DAVIDS LANE,16 DAVIDS LN
154,1517_285.11_1.14,24 DAVIDS LANE,24 DAVIDS LN
155,1517_285.11_1.15,28 DAVIDS LANE,28 DAVIDS LN
156,1517_285.11_1.16,32 DAVIDS LANE,32 DAVIDS LN
157,1517_285.11_1.17,31 DAVIDS LANE,31 DAVIDS LN
158,1517_285.11_1.18,27 DAVIDS LANE,27 DAVIDS LN
159,1517_285.11_1.19,23 DAVIDS LANE,23 DAVIDS LN
160,1517_285.11_1.20,19 DAVIDS LANE,19 DAVIDS LN
161,1517_285.11_1.21,15 DAVIDS LANE,15 DAVIDS LN
162,1517_285.11_1.22,11 DAVIDS LANE,11 DAVIDS LN
163,1517_285.11_1.23,7 DAVIDS LANE,7 DAVIDS LN
164,1517_285.11_1.24,3 DAVIDS LANE,3 DAVIDS LN
165,1517_285.11_2.02,4 VINCENT COURT,4425 PONCE DE LEON BLVD
166,1517_285.11_2.03,6 VINCENT COURT,6 VINCENT CT
167,1517_285.11_2.04,8 VINCENT COURT,8 VINCENT CT
168,1517_285.11_2.06,12 VINCENT COURT,12 VINCENT CT
169,1517_285.11_2.07,14 VINCENT COURT,11 OHIO DR
170,1517_285.11_2.08,16 VINCENT COURT,16 VINCENT CT
171,1517_285.11_2.09,18 VINCENT COURT,18 VINCENT CT
172,1517_285.11_2.10,20 VINCENT COURT,20 VINCENT CT
173,1517_285.11_2.13,38 VINCENT COURT,38 VINCENT CT
174,1517_285.11_2.16,44 VINCENT COURT,44 VINCENT CT
175,1517_285.11_2.17,46 VINCENT COURT,46 VINCENT CT
176,1517_285.11_2.18,48 VINCENT COURT,48 VINCENT CT
