,Code,Property_Location,Mailing Address
0,1517_2_7,221 BEAVER DAM ROAD,221 BEAVER DAM RD
1,1517_48.01_6,125 SOUTH SHORE DRIVE,121 S SHORE DR
2,1517_48.01_7,121 SOUTH SHORE DRIVE,121 S SHORE DR
3,1517_48.01_8,117 SOUTH SHORE DRIVE,117 S SHORE DR
4,1517_48.01_12,101 SOUTH SHORE DRIVE,101 S SHORE DR
5,1517_48.01_13,97 SOUTH SHORE DRIVE,97 S SHORE DR
6,1517_48.01_15,91 SOUTH SHORE DRIVE,91 S SHORE DR
7,1517_48.01_16,87 SOUTH SHORE DRIVE,87 S SHORE DR
8,1517_48.01_17,83 SOUTH SHORE DRIVE,83 S SHORE DR
9,1517_48.01_22,63 SOUTH SHORE DRIVE,63 S SHORE DR
10,1517_48.01_25,51 SOUTH SHORE DRIVE,51 S SHORE DR
11,1517_48.01_26,47 SOUTH SHORE DRIVE,43 S SHORE DR
12,1517_48.01_27,43 SOUTH SHORE DRIVE,43 S SHORE DR
13,1517_48.01_31,27 SOUTH SHORE DRIVE,27 S SHORE DR
14,1517_48.01_32,23 SOUTH SHORE DRIVE,27 S SHORE DR
15,1517_48.02_5,106 NORTH SHORE DRIVE,157 BUFFALO HOLLOW RD
16,1517_63_3,1510 ROUTE 539,1510 RTE 539
17,1517_63_3.02,1530 ROUTE 539,1510 RTE 539
18,,,
19,1517_64_3.01,FORGE ROAD,665 RADIO RD
20,1517_65_7,1511 ROUTE 539,24 FLAX ISLE DR
21,1517_65_8,1505 ROUTE 539,24 FLAX ISLE DR
22,1517_65_8.01,1505 ROUTE 539,24 FLAX ISLE DR
23,1517_65_8.02,THOMAS AVENUE,24 FLAX ISLE DR
24,1517_65_9,695 THOMAS AVENUE,24 FLAX ISLE DR
25,1517_65_10,689 THOMAS AVENUE,24 FLAX ISLE DR
26,1517_65_10.01,THOMAS AVENUE,24 FLAX ISLE DR
27,1517_65_15_QFARM,NORTH OF THOMAS AVENUE,403 THOMAS AVE
28,1517_65_16,331 OFF THOMAS AVENUE,225 WILLETS AVE
29,1517_65_17,329 THOMAS AVENUE,327 THOMAS AVE
30,1517_65_18,327 THOMAS AVENUE,327 THOMAS AVE
31,1517_65_21,319 THOMAS AVENUE,327 THOMAS AVE
32,1517_65_24_QFARM,OFF THOMAS AVENUE,403 THOMAS AVE
33,1517_65.01_19,303 THOMAS AVENUE,303 THOMAS AVE
34,1517_66_6,495 THOMAS AVENUE,495 THOMAS AVE
35,1517_66_7,437 THOMAS AVENUE,437 THOMAS AVE
36,1517_66_8_QFARM,NORTH OF THOMAS AVE,403 THOMAS AVE
37,1517_66_9,491 THOMAS AVENUE,491 THOMAS AVE
38,1517_67_2,591 THOMAS AVENUE,591 THOMAS AVE
39,1517_67_3,579 THOMAS AVENUE,579 THOMAS AVE
40,1517_67_3.01,583 THOMAS AVENUE,583 THOMAS AVE
41,1517_67_4,575 THOMAS AVENUE,575 THOMAS AVE
